Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.jsecurity,ActiveDirectoryRealmTest,testDefaultConfig,Magic Number,The method contains a magic number: 2,59
temp,org.jsecurity,AuthorizingRealmTest,testDefaultConfig,Magic Number,The method contains a magic number: 3,72
temp,org.jsecurity.authc.credential,SimpleCredentialsMatcher,equals,Long Statement,The length of the statement "log.info("At least one of the two credentials for comparsion is an array` but unable to " + "successfully convert both argments to arrays for array-equality comparison. Reverting " + "to simple Object.equals() check."`e);" is 221.,70
temp,org.jsecurity.authc.event,LoggingAuthenticationEventListener,accept,Long Statement,The length of the statement "String msg="Subject with principals [" + event.getPrincipals() + "] successfully authenticated on ["+ df.format(event.getTimestamp())+ "]";" is 139.,62
temp,org.jsecurity.authc.event,LoggingAuthenticationEventListener,accept,Long Statement,The length of the statement "String msg="Subject with principals [" + event.getPrincipals() + "] logged out on ["+ df.format(event.getTimestamp())+ "]";" is 123.,73
temp,org.jsecurity.authc.event,LoggingAuthenticationEventListener,accept,Long Statement,The length of the statement "String msg="The account for the subject with principals [" + event.getPrincipals() + "] was unlocked on ["+ df.format(event.getTimestamp())+ "]";" is 145.,84
temp,org.jsecurity.authc.event,LoggingAuthenticationEventListener,accept,Long Statement,The length of the statement "String msg="The account for the subject with principals [" + event.getPrincipals() + "] was locked on ["+ df.format(event.getTimestamp())+ "]";" is 143.,95
temp,org.jsecurity.authc.event,LoggingAuthenticationEventListener,accept,Long Statement,The length of the statement "String msg="Login attempt for subject with principals [" + event.getPrincipals() + "] failed on ["+ df.format(event.getTimestamp())+ "]";" is 137.,95
temp,org.jsecurity.authc.event,LoggingAuthenticationEventListener,accept,Long Statement,The length of the statement "String msg="Received unrecognized event of type [" + event.getClass().getName() + "] for subject with "+ "principals ["+ event.getPrincipals()+ "].";" is 149.,119
temp,org.jsecurity.authc.event,SimpleAuthenticationEventSender,send,Long Statement,The length of the statement "String msg="internal listeners collection is null. No " + "AuthenticationEventListeners will be notified of event [" + event + "]";" is 131.,94
temp,org.jsecurity.authc.support,AbstractAuthenticator,assertSenderCanRegister,Long Statement,The length of the statement "String msg="The underlying AuthenticationEventSender implementation [" + sender.getClass().getName() + "] does not implement the "+ AuthenticationEventListenerRegistrar.class.getName()+ " interface and therefore "+ "AuthenticationEvents cannot be propagated to registered listeners. Please ensure this "+ "Authenticator instance is injected with an AuthenticationEventSender that supports this interface "+ "if you wish to register for AuthenticationEvents.";" is 459.,159
temp,org.jsecurity.authc.support,AbstractAuthenticator,remove,Long Statement,The length of the statement "return (sender instanceof AuthenticationEventListenerRegistrar) && ((AuthenticationEventListenerRegistrar)sender).remove(listener);" is 131.,177
temp,org.jsecurity.authc.support,AbstractAuthenticator,isEventSendErrorFailsAuthentication,Long Identifier,The length of the field eventSendErrorFailsAuthentication is 33.,183
temp,org.jsecurity.authc.support,AbstractAuthenticator,setEventSendErrorFailsAuthentication,Long Identifier,The length of the parameter eventSendErrorFailsAuthentication is 33.,203
temp,org.jsecurity.authc.support,AbstractAuthenticator,setEventSendErrorFailsAuthentication,Long Identifier,The length of the field eventSendErrorFailsAuthentication is 33.,203
temp,org.jsecurity.authc.support,AbstractAuthenticator,sendFailureEvent,Long Statement,The length of the statement "log.debug("No AuthenticationEvent instance returned from " + "'createFailureEvent' method call. No failed authentication " + "event will be sent.");" is 148.,249
temp,org.jsecurity.authc.support,AbstractAuthenticator,sendSuccessEvent,Long Statement,The length of the statement "String msg="Unable to send event [" + event + "]. This authenticator is configured to "+ "interpret an event sending error as a failure during the authentication process "+ "via the setEventSendErrorFailsAuthentication property. Authentication failed.";" is 253.,283
temp,org.jsecurity.authc.support,AbstractAuthenticator,sendSuccessEvent,Long Statement,The length of the statement "String msg="Unable to send AuthenticationEvent [" + event + "]. Ignoring send error "+ "(for system resiliency) and continuing with the authentication process. Please "+ "check your sender configuration and/or implementation.";" is 227.,283
temp,org.jsecurity.authc.support,AbstractAuthenticator,sendSuccessEvent,Long Statement,The length of the statement "log.debug("No AuthenticationEvent instance returned from " + "'createSuccessEvent' method call. No success " + "event will be sent.");" is 134.,283
temp,org.jsecurity.authc.support,AbstractAuthenticator,authenticate,Complex Method,Cyclomatic complexity of the method is 9,358
temp,org.jsecurity.authc.support,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="Authentication token [" + token + "] could not be processed for authentication by this "+ "Authenticator instance. Please check that it is configured correctly.";" is 174.,358
temp,org.jsecurity.authc.support,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="Authentication failed for token submission [" + token + "]. Possible unexpected "+ "error? (Typical or expected login exceptions should extend from AuthenticationException).";" is 187.,358
temp,org.jsecurity.authc.support,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="Unable to send event for failed authentication attempt. Please check the " + "authenticationEventSender implementation. Logging sending exception and propagating " + "original AuthenticationException instead...";" is 224.,358
temp,org.jsecurity.authc.support,AllSuccessfulModularAuthenticationStrategy,beforeAttempt,Long Statement,The length of the statement "String msg="Realm [" + realm + "] of type ["+ realm.getClass().getName()+ "] does not support "+ " the submitted AuthenticationToken ["+ token+ "]. The ["+ getClass().getName()+ "] implementation requires all configured realm(s) to support and be able to process the submitted "+ "AuthenticationToken.";" is 303.,52
temp,org.jsecurity.authc.support,AllSuccessfulModularAuthenticationStrategy,afterAttempt,Long Statement,The length of the statement "String msg="Unable to acquire account data from realm [" + realm + "]. The ["+ getClass().getName()+ " implementation requires all configured realm(s) to operate successfully "+ "for a successful authentication.";" is 213.,62
temp,org.jsecurity.authc.support,AllSuccessfulModularAuthenticationStrategy,afterAttempt,Long Statement,The length of the statement "String msg="Realm [" + realm + "] could not find any associated account data for the submitted "+ "AuthenticationToken ["+ token+ "]. The ["+ getClass().getName()+ "] implementation requires "+ "all configured realm(s) to acquire valid account data for a submitted token during the "+ "log-in process.";" is 303.,62
temp,org.jsecurity.authc.support,AtLeastOneSuccessfulModularAuthenticationStrategy,afterAllAttempts,Long Statement,The length of the statement "throw new AuthenticationException("Authentication token of type [" + token.getClass() + "] "+ "could not be authenticated by any configured realms. Please ensure that at least one realm can "+ "authenticate these tokens.");" is 223.,64
temp,org.jsecurity.authc.support,ModularRealmAuthenticator,doSingleRealmAuthentication,Long Statement,The length of the statement "String msg="Single configured realm [" + realm + "] does not support authentication token ["+ token+ "]. Please ensure that the appropriate Realm implementation is "+ "configured correctly or that the realm accepts AuthenticationTokens of this type.";" is 251.,189
temp,org.jsecurity.authc.support,ModularRealmAuthenticator,doSingleRealmAuthentication,Long Statement,The length of the statement "String msg="Single configured realm [" + realm + "] was unable to find account data for the "+ "submitted AuthenticationToken ["+ token+ "].";" is 142.,189
temp,org.jsecurity.authc.support,ModularRealmAuthenticator,doMultiRealmAuthentication,Complex Method,Cyclomatic complexity of the method is 9,213
temp,org.jsecurity.authc.support,ModularRealmAuthenticator,doMultiRealmAuthentication,Long Statement,The length of the statement "log.debug("Realm of type [" + realm.getClass().getName() + "] does not support token "+ "["+ token+ "]. Skipping realm.");" is 122.,213
temp,org.jsecurity.authc.support,SimpleAccount,SimpleAccount,Long Parameter List,The method has 5 parameters. ,86
temp,org.jsecurity.authc.support,SimpleAccount,merge,Complex Method,Cyclomatic complexity of the method is 10,141
temp,org.jsecurity.authz.aop,AnnotationsAuthorizingMethodInterceptor,init,Magic Number,The method contains a magic number: 2,51
temp,org.jsecurity.authz.aop,PermissionAnnotationMethodInterceptor,inferTargetFromPath,Magic Number,The method contains a magic number: 2,52
temp,org.jsecurity.authz.permission,WildcardPermission,WildcardPermission,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot be null or empty. Make sure permission strings are properly formatted.");" is 132.,36
temp,org.jsecurity.authz.permission,WildcardPermission,WildcardPermission,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot contain parts with only dividers. Make sure permission strings are properly formatted.");" is 148.,36
temp,org.jsecurity.authz.permission,WildcardPermission,WildcardPermission,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot contain only dividers. Make sure permission strings are properly formatted.");" is 137.,36
temp,org.jsecurity.cache.ehcache,EhCacheProvider,buildCache,Long Identifier,The length of the field DEFAULT_ACTIVE_SESSIONS_CACHE_NAME is 34.,93
temp,org.jsecurity.cache.ehcache,EhCacheProvider,buildCache,Long Statement,The length of the statement "log.info("Creating " + DEFAULT_ACTIVE_SESSIONS_CACHE_NAME + " cache with default JSecurity "+ "session cache settings.");" is 121.,93
temp,org.jsecurity.cache.ehcache,EhCacheProvider,buildDefaultActiveSessionsCache,Long Identifier,The length of the field DEFAULT_ACTIVE_SESSIONS_CACHE_NAME is 34.,133
temp,org.jsecurity.cache.ehcache,EhCacheProvider,buildDefaultActiveSessionsCache,Long Identifier,The length of the field DEFAULT_ACTIVE_SESSIONS_CACHE_MAX_ELEM_IN_MEM is 45.,133
temp,org.jsecurity.cache.ehcache,EhCacheProvider,buildDefaultActiveSessionsCache,Long Identifier,The length of the field DEFAULT_ACTIVE_SESSIONS_DISK_EXPIRY_THREAD_INTERVAL_SECONDS is 59.,133
temp,org.jsecurity.cache.ehcache,EhCacheProvider,buildDefaultActiveSessionsCache,Long Statement,The length of the statement "return new net.sf.ehcache.Cache(DEFAULT_ACTIVE_SESSIONS_CACHE_NAME`DEFAULT_ACTIVE_SESSIONS_CACHE_MAX_ELEM_IN_MEM`true`true`0`0`true`DEFAULT_ACTIVE_SESSIONS_DISK_EXPIRY_THREAD_INTERVAL_SECONDS);" is 193.,133
temp,org.jsecurity.codec,Base64,encodeBase64,Complex Method,Cyclomatic complexity of the method is 11,267
temp,org.jsecurity.codec,Base64,encodeBase64,Long Statement,The length of the statement "throw new IllegalArgumentException("Input array too big` output array would be bigger than Integer.MAX_VALUE=" + Integer.MAX_VALUE);" is 132.,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x0f,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x03,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xc0,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xf0,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 6,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 6,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xfc,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x3f,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x03,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xc0,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x0f,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0x03,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xc0,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 0xf0,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 4,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 2,267
temp,org.jsecurity.codec,Base64,encodeBase64,Magic Number,The method contains a magic number: 3,267
temp,org.jsecurity.codec,Base64,decodeBase64,Complex Method,Cyclomatic complexity of the method is 8,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 3,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 0xf,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 0xf,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 6,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 0xf,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 4,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 2,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 0xf,399
temp,org.jsecurity.codec,Base64,decodeBase64,Magic Number,The method contains a magic number: 3,399
temp,org.jsecurity.codec,Base64,discardWhitespace,Missing default,The following switch statement is missing a default case: switch (data[i]) {,465
temp,org.jsecurity.codec,CodecSupport,objectToBytes,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only supports conversion to "+ "bytes[] if the source is of type byte[]` char[] or String. The instance provided as a method "+ "argument is of type ["+ o.getClass().getName()+ "]. If you would like to convert "+ "this argument type to a byte[]` you can 1) convert the argument to a byte[]` char[] or String "+ "yourself and then use that as the method argument or 2) subclass "+ getClass().getName()+ " and override the objectToBytes(Object o) method.";" is 514.,139
temp,org.jsecurity.codec,CodecSupport,objectToString,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only supports conversion to a String "+ "when the source is of type byte[]` char[]` or String. The instance provided as a method argument "+ "is of type ["+ o.getClass().getName()+ "]. If you would like to convert "+ "this argument type to a String` you can 1) convert the argument to a byte[]` char[] or String yourself "+ "and use that as the method argument or 2) subclass "+ getClass().getName()+ " and override the "+ "objectToString(Object o) method.";" is 518.,157
temp,org.jsecurity.codec,Hex,decode,Magic Number,The method contains a magic number: 4,94
temp,org.jsecurity.codec,Hex,decode,Magic Number,The method contains a magic number: 0xFF,94
temp,org.jsecurity.codec,Hex,toDigit,Magic Number,The method contains a magic number: 16,129
temp,org.jsecurity.codec,Hex,encode,Magic Number,The method contains a magic number: 0xF0,145
temp,org.jsecurity.codec,Hex,encode,Magic Number,The method contains a magic number: 4,145
temp,org.jsecurity.codec,Hex,encode,Magic Number,The method contains a magic number: 0x0F,145
temp,org.jsecurity.context,AbstractRememberMeManager,isRememberMe,Long Statement,The length of the statement "return token != null && (token instanceof RememberMeAuthenticationToken) && ((RememberMeAuthenticationToken)token).isRememberMe();" is 130.,99
temp,org.jsecurity.context,AbstractRememberMeManager,onSuccessfulLogin,Long Statement,The length of the statement "log.debug("AuthenticationToken did not indicate RememberMe is requested. " + "RememberMe functionality will not be executed for corresponding Account.");" is 153.,104
temp,org.jsecurity.context,DelegatingSecurityContext,DelegatingSecurityContext,Long Parameter List,The method has 5 parameters. ,99
temp,org.jsecurity.context,DelegatingSecurityContext,assertAuthzCheckPossible,Long Statement,The length of the statement "String msg="Subject/User data has not yet been associated with this SecurityContext " + "(this can be done by executing " + SecurityContext.class.getName() + ".login(AuthenticationToken) )."+ "Therefore` authorization operations are not possible (a Subject/User identity is required first). "+ "Denying authorization.";" is 319.,247
temp,org.jsecurity.context,DelegatingSecurityContext,login,Long Statement,The length of the statement "String msg="Principals returned from securityManager.login( token ) returned a null or " + "empty value. This value must be non null` and if a collection` the collection must " + "be populated with one or more elements. Please check the SecurityManager "+ "implementation to ensure this happens after a successful login attempt.";" is 330.,314
temp,org.jsecurity.crypto,SimpleBlowfishCipher,newCipherInstance,Long Statement,The length of the statement "String msg="Unable to acquire a Java JCE Cipher instance using " + javax.crypto.Cipher.class.getName() + ".getInstance( \""+ TRANSFORMATION_STRING+ "\" ). "+ "Blowfish under this configuration is required for the "+ getClass().getName()+ " instance to function.";" is 263.,86
temp,org.jsecurity.crypto,SimpleBlowfishCipher,crypt,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only accepts "+ Key.class.getName()+ " instances that also implement the "+ java.security.Key.class.getName()+ " interface. The argument used is of type ["+ key.getClass().getName()+ "].";" is 248.,116
temp,org.jsecurity.crypto,SimpleBlowfishCipher,main,Long Statement,The length of the statement "String[] cleartext=new String[]{"Hello` this is a test."`"Lorem ipsum dolor sit amet` consectetur adipisicing elit` sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."};" is 185.,133
temp,org.jsecurity.realm,AuthenticatingRealm,supports,Long Statement,The length of the statement "log.info("Received null AuthenticationToken. Returning false for supports(token) implementation (can't " + "process null tokens).");" is 132.,128
temp,org.jsecurity.realm,AuthenticatingRealm,getAccount,Long Statement,The length of the statement "throw new AuthenticationException("A CredentialsMatcher must be configured in order to verify " + "credentials during authentication. If you do not wish for credentials to be examined` you " + "can configure an AllowAllCredentialsMatcher.");" is 241.,181
temp,org.jsecurity.realm,AuthorizingRealm,init,Complex Method,Cyclomatic complexity of the method is 9,144
temp,org.jsecurity.realm,AuthorizingRealm,init,Long Statement,The length of the statement "log.info("No cache or cacheProvider properties have been set. AuthorizingAccount caching is " + "disabled for realm [" + getName() + "]");" is 138.,144
temp,org.jsecurity.realm,AuthorizingRealm,getAccount,Complex Method,Cyclomatic complexity of the method is 11,231
temp,org.jsecurity.realm,AuthorizingRealm,assertNotNullAccount,Long Statement,The length of the statement "throw new MissingAccountException("No Account found for Subject principal [" + subjectPrincipal + "] in realm ["+ getName()+ "]");" is 130.,288
temp,org.jsecurity.realm,AuthorizingRealm,assertAuthorizingAccount,Long Statement,The length of the statement "String msg="Underlying Account instance [" + account + "] does not implement the "+ AuthorizingAccount.class.getName()+ " interface. The JSecurity "+ AuthorizingRealm.class.getName()+ " class and its default implementations can only provide default "+ "authorization (access control) support for Accounts that implement this interface. If you do not "+ "wish to implement this interface` you will need to override all of this Realm's Authorizer methods "+ "to perform the authorization check explicitly.\n\nNote that there is nothing wrong with this "+ "approach since it often gives finer control of how authorization checks occur` but you would have "+ "to override these methods explicitly since JSecurity can't infer your application's security "+ "data model.";" is 766.,295
temp,org.jsecurity.realm,PropertiesRealm,onInit,Long Statement,The length of the statement "log.info("Unable to find a jsecurity-users.properties file at location [" + this.filePath + "]. "+ "Defaulting to JSecurity's failsafe properties file (Guest user only).");" is 172.,126
temp,org.jsecurity.realm,PropertiesRealm,startReloadThread,Long Statement,The length of the statement "((ScheduledExecutorService)this.scheduler).scheduleAtFixedRate(this`reloadIntervalSeconds`reloadIntervalSeconds`TimeUnit.SECONDS);" is 130.,154
temp,org.jsecurity.realm,PropertiesRealm,reloadProperties,Empty catch clause,The method has an empty catch block.,228
temp,org.jsecurity.realm,PropertiesRealm,reloadProperties,Long Statement,The length of the statement "throw new IllegalStateException("The filePath property is not set. " + "It must be set prior to this realm being initialized.");" is 128.,228
temp,org.jsecurity.realm,PropertiesRealm,createRealmEntitiesFromProperties,Long Statement,The length of the statement "String msg="Encountered unexpected key/value pair. All keys must be prefixed with either '" + USERNAME_PREFIX + "' or '"+ ROLENAME_PREFIX+ "'.";" is 144.,271
temp,org.jsecurity.realm,PropertiesRealm,loadProperties,Long Statement,The length of the statement "throw new JSecurityException("Error reading properties path [" + filePath + "]. "+ "Initializing of the realm from this file failed."`e);" is 137.,309
temp,org.jsecurity.realm,SimpleAccountRealm,processUserDefinitions,Complex Method,Cyclomatic complexity of the method is 8,253
temp,org.jsecurity.realm,SimpleAccountRealm,processUserDefinitions,Magic Number,The method contains a magic number: 2,253
temp,org.jsecurity.realm,SimpleAccountRealm,processRoleDefinitions,Long Statement,The length of the statement "List<Permission> permissions=PermissionUtils.resolveDelimitedPermissions(value`getPermissionResolver()`PERMISSION_DELIMITER);" is 125.,296
temp,org.jsecurity.realm,SimpleAccountRealm,toMap,Long Statement,The length of the statement "String msg="Invalid definition entry [" + pairString + "]. Key/Value pairs must be separated "+ "by an equals character (=)";" is 125.,317
temp,org.jsecurity.realm,SimpleAccountRealm,toMap,Magic Number,The method contains a magic number: 2,317
temp,org.jsecurity.realm.jdbc,JdbcRealm,getPasswordForUser,Long Statement,The length of the statement "throw new AuthenticationException("More than one user row found for user [" + username + "]. Usernames must be unique.");" is 121.,220
