Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.apache.ki.authz.aop,GuestAnnotationHandler,assertAuthorized,Long Statement,The length of the statement "throw new UnauthenticatedException("Attempting to perform a guest-only operation. The current Subject is " + "not a guest (they have been authenticated or remembered from a previous login). Access " + "denied.");" is 212.,50
temp,org.apache.ki.authz.aop,UserAnnotationHandler,assertAuthorized,Long Statement,The length of the statement "throw new UnauthenticatedException("Attempting to perform a user-only operation. The current Subject is " + "not a user (they haven't been authenticated or remembered from a previous login). " + "Access denied.");" is 213.,50
temp,org.apache.ki.authz,ModularRealmAuthorizer,applyPermissionResolverToRealms,Complex Conditional,The conditional expression resolver != null && realms != null && !realms.isEmpty() is complex.,113
temp,org.apache.ki.authz,ModularRealmAuthorizer,assertRealmsConfigured,Long Statement,The length of the statement "String msg="Configuration error: No realms have been configured! One or more realms must be " + "present to execute an authorization operation.";" is 145.,138
temp,org.apache.ki.authz,SimpleAuthorizingAccount,SimpleAuthorizingAccount,Long Parameter List,The method has 5 parameters. ,65
temp,org.apache.ki.authz,SimpleAuthorizingAccount,SimpleAuthorizingAccount,Long Parameter List,The method has 5 parameters. ,74
temp,org.apache.ki.authz,SimpleAuthorizingAccount,SimpleAuthorizingAccount,Long Parameter List,The method has 5 parameters. ,83
temp,org.apache.ki.authz.permission,WildcardPermission,WildcardPermission,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot be null or empty. Make sure permission strings are properly formatted.");" is 132.,132
temp,org.apache.ki.authz.permission,WildcardPermission,WildcardPermission,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot contain parts with only dividers. Make sure permission strings are properly formatted.");" is 148.,132
temp,org.apache.ki.authz.permission,WildcardPermission,WildcardPermission,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot contain only dividers. Make sure permission strings are properly formatted.");" is 137.,132
temp,org.apache.ki.codec,Base64,discardWhitespace,Missing default,The following switch statement is missing a default case: switch (aByte) {,196
temp,org.apache.ki.codec,Base64,encode,Complex Method,Cyclomatic complexity of the method is 11,257
temp,org.apache.ki.codec,Base64,encode,Long Statement,The length of the statement "throw new IllegalArgumentException("Input array too big` output array would be bigger than Integer.MAX_VALUE=" + Integer.MAX_VALUE);" is 132.,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0x0f,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0x03,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0xc0,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0xf0,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 6,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 6,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0xfc,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0x3f,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0x03,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0xc0,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0x0f,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0x03,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0xc0,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 0xf0,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.ki.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.ki.codec,Base64,decode,Complex Method,Cyclomatic complexity of the method is 8,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 3,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 6,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,417
temp,org.apache.ki.codec,Base64,decode,Magic Number,The method contains a magic number: 3,417
temp,org.apache.ki.codec,CodecSupport,toBytes,Empty catch clause,The method has an empty catch block.,225
temp,org.apache.ki.codec,CodecSupport,toBytes,Empty catch clause,The method has an empty catch block.,225
temp,org.apache.ki.codec,CodecSupport,toBytes,Magic Number,The method contains a magic number: 512,225
temp,org.apache.ki.codec,CodecSupport,objectToBytes,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only supports conversion to "+ "byte[] if the source is of type byte[]` char[]` String` File or InputStream. The instance "+ "provided as a method "+ "argument is of type ["+ o.getClass().getName()+ "]. If you would like to convert "+ "this argument type to a byte[]` you can 1) convert the argument to one of the supported types "+ "yourself and then use that as the method argument or 2) subclass "+ getClass().getName()+ "and override the objectToBytes(Object o) method.";" is 535.,261
temp,org.apache.ki.codec,Hex,encode,Magic Number,The method contains a magic number: 0xF0,57
temp,org.apache.ki.codec,Hex,encode,Magic Number,The method contains a magic number: 4,57
temp,org.apache.ki.codec,Hex,encode,Magic Number,The method contains a magic number: 0x0F,57
temp,org.apache.ki.codec,Hex,decode,Magic Number,The method contains a magic number: 4,111
temp,org.apache.ki.codec,Hex,decode,Magic Number,The method contains a magic number: 0xFF,111
temp,org.apache.ki.codec,Hex,toDigit,Magic Number,The method contains a magic number: 16,146
temp,org.apache.ki.config,IniConfiguration,init,Long Statement,The length of the statement "log.debug("Apache Ki resource [" + configUrl + "] not found. Ignoring since "+ "'ignoreResourceNotFound' is set to true.");" is 123.,91
temp,org.apache.ki.config,IniConfiguration,init,Long Statement,The length of the statement "throw new ConfigurationException("Apache Ki resource [" + configUrl + "] specified as a 'configUrl' "+ "cannot be found. If you want to fall back on default configuration specified "+ "via the 'config' parameter` then set 'ignoreResourceNotFound' to true.");" is 258.,91
temp,org.apache.ki.config,IniConfiguration,createSecurityManagerForSection,Complex Method,Cyclomatic complexity of the method is 8,190
temp,org.apache.ki.config,IniConfiguration,createSecurityManagerForSection,Empty catch clause,The method has an empty catch block.,190
temp,org.apache.ki.config,ReflectionBuilder,createNewInstance,Long Statement,The length of the statement "log.info("An instance with name [" + name + "] already exists. "+ "Redefining this object as a new instance of type ["+ value+ "].");" is 133.,103
temp,org.apache.ki.config,ReflectionBuilder,createNewInstance,Long Statement,The length of the statement "String msg="Unable to instantiate class [" + value + "] for object named '"+ name+ "'. "+ "Please ensure you've specified the fully qualified class name correctly.";" is 165.,103
temp,org.apache.ki.config,ReflectionBuilder,applyProperty,Long Statement,The length of the statement "throw new IllegalArgumentException("All property keys must contain a '.' character. " + "(e.g. myBean.property = value) These should already be separated out by buildObjects().");" is 179.,125
temp,org.apache.ki.config,ReflectionBuilder,applyGlobalProperty,Long Statement,The length of the statement "String msg="Error retrieving property descriptor for instance " + "of type [" + instance.getClass().getName() + "] "+ "while setting property ["+ property+ "]";" is 160.,146
temp,org.apache.ki.config,ReflectionBuilder,applySingleProperty,Long Statement,The length of the statement "throw new IllegalArgumentException("Property keys should not contain 'class' properties since these " + "should already be separated out by buildObjects().");" is 158.,162
temp,org.apache.ki.config,ReflectionBuilder,applySingleProperty,Long Statement,The length of the statement "String msg="Configuration error. Specified object [" + name + "] with property ["+ property+ "] without first defining that object's class. Please first "+ "specify the class property first` e.g. myObject.class = fully_qualified_class_name "+ "and then define additional properties.";" is 284.,162
temp,org.apache.ki.config,ReflectionBuilder,getReferencedObject,Long Statement,The length of the statement "String msg="The object with id [" + id + "] has not yet been defined and therefore cannot be "+ "referenced. Please ensure objects are defined in the order in which they should be "+ "created and made avaialable for future reference.";" is 235.,188
temp,org.apache.ki.config,ReflectionBuilder,unescapeIfNecessary,Long Identifier,The length of the field ESCAPED_OBJECT_REFERENCE_BEGIN_TOKEN is 36.,199
temp,org.apache.ki.config,ReflectionBuilder,applyProperty,Long Statement,The length of the statement "log.trace("Applying property [" + propertyName + "] value ["+ value+ "] on object of type ["+ object.getClass().getName()+ "]");" is 128.,206
temp,org.apache.ki.config,ReflectionBuilder,applyProperty,Long Statement,The length of the statement "String msg="Unable to set property [" + propertyName + "] with value ["+ stringValue+ "]. If "+ "'"+ stringValue+ "' is a reference to another (previously defined) object` please prefix it with "+ "'"+ OBJECT_REFERENCE_BEGIN_TOKEN+ "' to indicate that the referenced "+ "object should be used as the actual value. "+ "For example` "+ OBJECT_REFERENCE_BEGIN_TOKEN+ stringValue;" is 376.,206
temp,org.apache.ki.config,ReflectionBuilderTest,testSimpleConfig,Magic Number,The method contains a magic number: 42,36
temp,org.apache.ki.config,ReflectionBuilderTest,testObjectReferenceConfig,Magic Number,The method contains a magic number: 101,67
temp,org.apache.ki.crypto,BlowfishCipher,encrypt,Long Statement,The length of the statement "log.trace("Incoming byte array of size " + (raw != null ? raw.length : 0) + ". Encrypted "+ "byte array is size "+ (encrypted != null ? encrypted.length : 0));" is 159.,121
temp,org.apache.ki.crypto,BlowfishCipher,newCipherInstance,Long Statement,The length of the statement "String msg="Unable to acquire a Java JCE Cipher instance using " + javax.crypto.Cipher.class.getName() + ".getInstance( \""+ TRANSFORMATION_STRING+ "\" ). "+ "Blowfish under this configuration is required for the "+ getClass().getName()+ " instance to function.";" is 263.,146
temp,org.apache.ki.crypto,BlowfishCipher,generateNewKey,Magic Number,The method contains a magic number: 128,224
temp,org.apache.ki.crypto,BlowfishCipher,main,Long Statement,The length of the statement "String[] cleartext=new String[]{"Hello` this is a test."`"Lorem ipsum dolor sit amet` consectetur adipisicing elit` sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."};" is 185.,253
temp,org.apache.ki.io,DefaultSerializer,serialize,Long Statement,The length of the statement "String msg="Unable to serialize object [" + o + "]. "+ "In order for the DefaultSerializer to serialize this object` the ["+ o.getClass().getName()+ "] "+ "class must implement java.io.Serializable.";" is 200.,37
temp,org.apache.ki.io,IniResource,load,Complex Conditional,The conditional expression line == null || line.startsWith(COMMENT_POUND) || line.startsWith(COMMENT_SEMICOLON) is complex.,83
temp,org.apache.ki.io,ResourceUtils,hasResourcePrefix,Long Statement,The length of the statement "return resourcePath != null && (resourcePath.startsWith(CLASSPATH_PREFIX) || resourcePath.startsWith(URL_PREFIX) || resourcePath.startsWith(FILE_PREFIX));" is 154.,64
temp,org.apache.ki.io,ResourceUtils,resourceExists,Empty catch clause,The method has an empty catch block.,81
temp,org.apache.ki.jndi,JndiLocator,convertJndiName,Complex Conditional,The conditional expression isResourceRef() && !jndiName.startsWith(CONTAINER_PREFIX) && jndiName.indexOf(':') == -1 is complex.,164
temp,org.apache.ki.jndi,JndiTemplate,lookup,Long Statement,The length of the statement "String msg="Jndi object acquired under name '" + name + "' is of type ["+ jndiObject.getClass().getName()+ "] and not assignable to the required type ["+ requiredType.getName()+ "].";" is 183.,156
temp,org.apache.ki,SecurityUtils,getSubject,Long Statement,The length of the statement "String msg="No SecurityManager accessible to this method` either bound to the " + ThreadContext.class.getName() + " or as a vm static singleton. See the "+ SecurityUtils.class.getName()+ ".getSubject() method JavaDoc for an explanation of expected "+ "environment configuration.";" is 280.,40
temp,org.apache.ki.mgt,AbstractRememberMeManager,isRememberMe,Long Statement,The length of the statement "return token != null && (token instanceof RememberMeAuthenticationToken) && ((RememberMeAuthenticationToken)token).isRememberMe();" is 130.,143
temp,org.apache.ki.mgt,AbstractRememberMeManager,onSuccessfulLogin,Long Statement,The length of the statement "log.debug("AuthenticationToken did not indicate RememberMe is requested. " + "RememberMe functionality will not be executed for corresponding account.");" is 153.,148
temp,org.apache.ki.mgt,AbstractRememberMeManager,rememberIdentity,Long Statement,The length of the statement "log.warn("Unable to serialize account principals [" + accountPrincipals + "]. Identity "+ "cannot be remembered! This is a non fatal exception as RememberMe identity services "+ "are not considered critical and execution can continue as normal. But please "+ "investigate and resolve to prevent seeing this message again."`se);" is 327.,176
temp,org.apache.ki.mgt,AbstractRememberMeManager,getRememberedPrincipals,Long Statement,The length of the statement "log.warn("Unable to deserialize stored identity byte array. Remembered identity " + "cannot be reconstituted! This is a non fatal exception as RememberMe identity services " + "are not considered critical and execution can continue as normal` but please "+ "investigate and resolve to prevent seeing this message again."`e);" is 324.,193
temp,org.apache.ki.mgt,AbstractRememberMeManager,onRememberedPrincipalFailure,Long Statement,The length of the statement "log.warn("There was a failure while trying to retrieve remembered principals. This could be due to a " + "configuration problem or corrupted principals. This could also be due to a recently " + "changed encryption key. The remembered identity will be forgotten and not used for this "+ "request."`e);" is 300.,220
temp,org.apache.ki.mgt,AuthenticatingSecurityManager,setAuthenticationStrategy,Long Statement,The length of the statement "String msg="Configuring a AuthenticationStrategy is only applicable when the underlying " + "Authenticator implementation is a " + ModularRealmAuthenticator.class.getName() + " implementation. This SecurityManager has been configured with an Authenticator of type "+ this.authenticator.getClass().getName();" is 307.,97
temp,org.apache.ki.mgt,AuthenticatingSecurityManager,setAuthenticationListeners,Long Statement,The length of the statement "String msg="Configuring a AuthenticationStrategy is only applicable when the underlying " + "Authenticator implementation is a " + AuthenticationListenerRegistrar.class.getName() + " implementation. This SecurityManager has been configured with an Authenticator of type "+ this.authenticator.getClass().getName()+ "` which does not implement that interface.";" is 359.,114
temp,org.apache.ki.mgt,AuthenticatingSecurityManager,remove,Long Statement,The length of the statement "return (this.authenticator instanceof AuthenticationListenerRegistrar) && ((AuthenticationListenerRegistrar)this.authenticator).remove(listener);" is 145.,153
temp,org.apache.ki.mgt,AuthenticatingSecurityManager,assertAuthenticatorListenerSupport,Long Statement,The length of the statement "String msg="AuthenticationListener registration failed: The underlying Authenticator instance of " + "type [" + this.authenticator.getClass().getName() + "] does not implement the "+ AuthenticationListenerRegistrar.class.getName()+ " interface and therefore cannot support "+ "runtime registration of AuthenticationListeners.";" is 327.,158
temp,org.apache.ki.mgt,AuthorizingSecurityManager,setPermissionResolver,Long Statement,The length of the statement "String msg="Underlying Authorizer instance does not implement the " + PermissionResolverAware.class.getName() + " interface. This is required to support "+ "passthrough configuration of a PermissionResolver.";" is 209.,91
temp,org.apache.ki.mgt,DefaultSecurityManager,getRememberMeManagerForCipherAttributes,Long Statement,The length of the statement "String msg="The convenience passthrough methods for setting remember me cipher attributes " + "are only available when the underlying RememberMeManager implementation is a subclass of " + AbstractRememberMeManager.class.getName() + ".";" is 236.,146
temp,org.apache.ki.mgt,DefaultSecurityManager,createSubject,Long Statement,The length of the statement "log.debug("Session id referenced on the current thread [" + sessionId + "] is invalid. "+ "Ignoring and creating a new Subject instance to continue. This message can be "+ "safely ignored."`e);" is 193.,196
temp,org.apache.ki.mgt,DefaultSecurityManager,createSubject,Long Statement,The length of the statement "log.warn("Session id referenced on the current thread [" + sessionId + "] is not allowed to be "+ "referenced. Ignoring and creating a Subject instance without a session to continue."`e);" is 187.,196
temp,org.apache.ki.mgt,DefaultSecurityManager,assertCreation,Long Statement,The length of the statement "String msg="Programming error - please verify that you have overridden the " + getClass().getName() + ".createSubject( AuthenticationInfo info ) method to return "+ "a non-null Subject instance";" is 195.,250
temp,org.apache.ki.mgt,DefaultSecurityManager,rememberMeSuccessfulLogin,Long Statement,The length of the statement "String msg="Delegate RememberMeManager instance of type [" + rmm.getClass().getName() + "] threw an exception during onSuccessfulLogin. RememberMe services will not be "+ "performed for account ["+ info+ "].";" is 209.,259
temp,org.apache.ki.mgt,DefaultSecurityManager,rememberMeSuccessfulLogin,Long Statement,The length of the statement "log.debug("This " + getClass().getName() + " instance does not have a "+ "["+ RememberMeManager.class.getName()+ "] instance configured. RememberMe services "+ "will not be performed for account ["+ info+ "].");" is 211.,259
temp,org.apache.ki.mgt,DefaultSecurityManager,rememberMeFailedLogin,Long Statement,The length of the statement "String msg="Delegate RememberMeManager instance of type [" + rmm.getClass().getName() + "] threw an exception during onFailedLogin for AuthenticationToken ["+ token+ "].";" is 171.,281
temp,org.apache.ki.mgt,DefaultSecurityManager,rememberMeLogout,Long Statement,The length of the statement "String msg="Delegate RememberMeManager instance of type [" + rmm.getClass().getName() + "] threw an exception during onLogout for subject with principals ["+ subjectPrincipals+ "]";" is 181.,297
temp,org.apache.ki.mgt,DefaultSecurityManager,login,Long Statement,The length of the statement "log.info("onFailedLogin(AuthenticationToken`AuthenticationException) method threw an " + "exception. Logging and propagating original AuthenticationException."`e);" is 163.,313
temp,org.apache.ki.mgt,DefaultSecurityManager,stopSession,Long Statement,The length of the statement "log.trace("Session has already been invalidated for subject [" + subject.getPrincipal() + "]. Ignoring and continuing logout ..."`ise);" is 135.,399
temp,org.apache.ki.mgt,DefaultSecurityManager,getRememberedIdentity,Long Statement,The length of the statement "String msg="Delegate RememberMeManager instance of type [" + rmm.getClass().getName() + "] threw an exception during getRememberedPrincipals().";" is 145.,419
temp,org.apache.ki.mgt,DefaultSecurityManager,getSubjectBySessionId,Long Statement,The length of the statement "String msg="Specified id [" + sessionId + "] does not correspond to a valid Session It either "+ "does not exist or the corresponding session has been stopped or expired.";" is 172.,460
temp,org.apache.ki.mgt,SessionsSecurityManager,assertSessionManager,Long Statement,The length of the statement "String msg="Property configuration failed. The target property is only configurable when the " + "underlying SessionManager instance is a part of the " + "[" + requiredType.getName() + "] class hierarchy. "+ "The current SessionManager is of type ["+ this.sessionManager.getClass().getName()+ "]. "+ "This might occur for example if you're trying to set the validation interval or auto session "+ "creation in a servlet container-backed session environment ('http' session mode). If that is "+ "the case however` that property is only useful when using 'ki' session mode and using "+ "Apache Ki enterprise sessions which do not rely on a servlet container.";" is 658.,149
temp,org.apache.ki.mgt,SessionsSecurityManager,assertSessionListenerSupport,Long Statement,The length of the statement "String msg="SessionListener registration failed: The underlying SessionManager instance of " + "type [" + sessionManager.getClass().getName() + "] does not implement the "+ SessionListenerRegistrar.class.getName()+ " interface and therefore cannot support "+ "session notifications.";" is 284.,239
temp,org.apache.ki.mgt,SessionsSecurityManager,remove,Long Statement,The length of the statement "return (this.sessionManager instanceof SessionListenerRegistrar) && ((SessionListenerRegistrar)this.sessionManager).remove(listener);" is 133.,270
temp,org.apache.ki.mgt,DefaultSecurityManagerTest,testAutoCreateSessionAfterInvalidation,Empty catch clause,The method has an empty catch block.,82
temp,org.apache.ki.mgt,DefaultSecurityManagerTest,testAutoCreateSessionAfterInvalidation,Magic Number,The method contains a magic number: 100,82
temp,org.apache.ki.mgt,DefaultSecurityManagerTest,testAutoCreateSessionAfterInvalidation,Magic Number,The method contains a magic number: 150,82
temp,org.apache.ki.realm.activedirectory,ActiveDirectoryRealm,getRoleNamesForUser,Complex Method,Cyclomatic complexity of the method is 8,168
temp,org.apache.ki.realm,AuthenticatingRealm,getAuthenticationInfo,Long Statement,The length of the statement "String msg="No authentication information found for submitted authentication token [" + token + "]. "+ "Returning null.";" is 121.,175
temp,org.apache.ki.realm,AuthenticatingRealm,getAuthenticationInfo,Long Statement,The length of the statement "throw new AuthenticationException("A CredentialsMatcher must be configured in order to verify " + "credentials during authentication. If you do not wish for credentials to be examined` you " + "can configure an " + AllowAllCredentialsMatcher.class.getName() + " instance.");" is 274.,175
temp,org.apache.ki.realm,AuthorizingRealm,initAuthorizationCache,Complex Method,Cyclomatic complexity of the method is 8,177
