Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.apache.shiro.config,ReflectionBuilder,getReferencedObject,Long Statement,The length of the statement "String msg="The object with id [" + id + "] has not yet been defined and therefore cannot be "+ "referenced. Please ensure objects are defined in the order in which they should be "+ "created and made available for future reference.";" is 234.,215
temp,org.apache.shiro.config,ReflectionBuilder,unescapeIfNecessary,Long Identifier,The length of the field ESCAPED_OBJECT_REFERENCE_BEGIN_TOKEN is 36.,226
temp,org.apache.shiro.config,ReflectionBuilder,toMap,Long Statement,The length of the statement "String[] tokens=StringUtils.split(sValue`StringUtils.DEFAULT_DELIMITER_CHAR`StringUtils.DEFAULT_QUOTE_CHAR`StringUtils.DEFAULT_QUOTE_CHAR`true`true);" is 149.,281
temp,org.apache.shiro.config,ReflectionBuilder,toMap,Long Statement,The length of the statement "String msg="Map property value [" + sValue + "] contained key-value pair token ["+ token+ "] that does not properly split to a single key and pair. This must be the "+ "case for all map entries.";" is 196.,281
temp,org.apache.shiro.config,ReflectionBuilder,toMap,Magic Number,The method contains a magic number: 2,281
temp,org.apache.shiro.config,ReflectionBuilder,applyProperty,Complex Method,Cyclomatic complexity of the method is 9,367
temp,org.apache.shiro.config,ReflectionBuilder,applyProperty,Long Statement,The length of the statement "throw new ConfigurationException("Referenced map/array value '" + mapPropertyPath + "["+ keyString+ "]' does not exist.");" is 122.,367
temp,org.apache.shiro.config,ReflectionBuilder,setProperty,Long Statement,The length of the statement "log.trace("Applying property [{}] value [{}] on object of type [{}]"`new Object[]{propertyPath`value`object.getClass().getName()});" is 131.,434
temp,org.apache.shiro.config,ReflectionBuilder,setProperty,Long Statement,The length of the statement "String msg="Unable to set property '" + propertyPath + "' with value ["+ value+ "] on object "+ "of type "+ (object != null ? object.getClass().getName() : null)+ ". If "+ "'"+ value+ "' is a reference to another (previously defined) object` prefix it with "+ "'"+ OBJECT_REFERENCE_BEGIN_TOKEN+ "' to indicate that the referenced "+ "object should be used as the actual value. "+ "For example` "+ OBJECT_REFERENCE_BEGIN_TOKEN+ value;" is 433.,434
temp,org.apache.shiro.config,ReflectionBuilder,applyProperty,Complex Method,Cyclomatic complexity of the method is 9,480
temp,org.apache.shiro.config,IniTest,testNoSections,Magic Number,The method contains a magic number: 2,35
temp,org.apache.shiro.config,IniTest,testOneSection,Long Statement,The length of the statement "String test=NL + "" + NL+ " "+ NL+ " # comment1 "+ NL+ " ; comment 2"+ NL+ "["+ sectionName+ "]"+ NL+ "prop1 = value1"+ NL+ " "+ NL+ "; comment "+ NL+ "prop2 value2"+ NL+ "prop3:value3"+ NL+ "prop4 : value 4"+ NL+ "prop5 some long \\"+ NL+ " value "+ NL+ "# comment.";" is 268.,128
temp,org.apache.shiro.config,IniTest,testOneSection,Magic Number,The method contains a magic number: 5,128
temp,org.apache.shiro.authc,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="No account information found for authentication token [" + token + "] by this "+ "Authenticator instance. Please check that it is configured correctly.";" is 165.,168
temp,org.apache.shiro.authc,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="Authentication failed for token submission [" + token + "]. Possible unexpected "+ "error? (Typical or expected login exceptions should extend from AuthenticationException).";" is 187.,168
temp,org.apache.shiro.authc,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="Unable to send notification for failed authentication attempt - listener error?. " + "Please check your AuthenticationListener implementation(s). Logging sending exception " + "and propagating original AuthenticationException instead...";" is 250.,168
temp,org.apache.shiro.authc,SimpleAccount,SimpleAccount,Long Statement,The length of the statement "this(principal instanceof PrincipalCollection ? (PrincipalCollection)principal : new SimplePrincipalCollection(principal`realmName)`credentials);" is 145.,76
temp,org.apache.shiro.authc,SimpleAccount,SimpleAccount,Long Statement,The length of the statement "this(principal instanceof PrincipalCollection ? (PrincipalCollection)principal : new SimplePrincipalCollection(principal`realmName)`hashedCredentials`credentialsSalt);" is 167.,87
temp,org.apache.shiro.authc,SimpleAccount,SimpleAccount,Long Parameter List,The method has 5 parameters. ,155
temp,org.apache.shiro.authc,SimpleAccount,SimpleAccount,Long Parameter List,The method has 5 parameters. ,171
temp,org.apache.shiro.authc,SimpleAuthenticationInfo,merge,Complex Conditional,The conditional expression info == null || info.getPrincipals() == null || info.getPrincipals().isEmpty() is complex.,187
temp,org.apache.shiro.authc,SimpleAuthenticationInfo,merge,Complex Method,Cyclomatic complexity of the method is 9,187
temp,org.apache.shiro.authc,SimpleAuthenticationInfoTest,testMergeWithImmutablePrincipalCollection,Magic Number,The method contains a magic number: 2,56
temp,org.apache.shiro.authc.credential,DefaultPasswordService,checkHashFormatDurability,Long Statement,The length of the statement "String msg="The configured hashFormat instance [" + format.getClass().getName() + "] is not a "+ ParsableHashFormat.class.getName()+ " implementation. This is "+ "required if you wish to support backwards compatibility for saved password checking (almost "+ "always desirable). Without a "+ ParsableHashFormat.class.getSimpleName()+ " instance` "+ "any hashService configuration changes will break previously hashed/saved passwords.";" is 434.,100
temp,org.apache.shiro.authc.credential,DefaultPasswordService,buildHashRequest,Long Statement,The length of the statement "return new HashRequest.Builder().setSource(plaintext).setAlgorithmName(saved.getAlgorithmName()).setSalt(saved.getSalt()).setIterations(saved.getIterations()).build();" is 167.,167
temp,org.apache.shiro.authc.credential,HashedCredentialsMatcher,assertHashAlgorithmName,Long Statement,The length of the statement "String msg="Required 'hashAlgorithmName' property has not been set. This is required to execute " + "the hashing algorithm.";" is 125.,415
temp,org.apache.shiro.authc.credential,PasswordMatcher,assertHashingPasswordService,Long Statement,The length of the statement "String msg="AuthenticationInfo's stored credentials are a Hash instance` but the " + "configured passwordService is not a " + HashingPasswordService.class.getName() + " instance. This is required to perform Hash "+ "object password comparisons.";" is 246.,60
temp,org.apache.shiro.authc.credential,PasswordMatcher,assertStoredCredentialsType,Long Statement,The length of the statement "String msg="Stored account credentials are expected to be either a " + Hash.class.getName() + " instance or a formatted hash String.";" is 134.,84
temp,org.apache.shiro.authc.credential,SimpleCredentialsMatcher,equals,Long Statement,The length of the statement "log.debug("Performing credentials equality check for tokenCredentials of type [" + tokenCredentials.getClass().getName() + " and accountCredentials of type ["+ accountCredentials.getClass().getName()+ "]");" is 206.,76
temp,org.apache.shiro.authc.pam,AbstractAuthenticationStrategy,afterAttempt,Long Parameter List,The method has 5 parameters. ,50
temp,org.apache.shiro.authc.pam,AbstractAuthenticationStrategy,merge,Long Statement,The length of the statement "throw new IllegalArgumentException("Attempt to merge authentication info from multiple realms` but aggregate " + "AuthenticationInfo is not of type MergableAuthenticationInfo.");" is 178.,69
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategy,beforeAttempt,Long Statement,The length of the statement "String msg="Realm [" + realm + "] of type ["+ realm.getClass().getName()+ "] does not support "+ " the submitted AuthenticationToken ["+ token+ "]. The ["+ getClass().getName()+ "] implementation requires all configured realm(s) to support and be able to process the submitted "+ "AuthenticationToken.";" is 303.,46
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategy,afterAttempt,Long Parameter List,The method has 5 parameters. ,65
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategy,afterAttempt,Long Statement,The length of the statement "String msg="Unable to acquire account data from realm [" + realm + "]. The ["+ getClass().getName()+ " implementation requires all configured realm(s) to operate successfully "+ "for a successful authentication.";" is 213.,65
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategy,afterAttempt,Long Statement,The length of the statement "String msg="Realm [" + realm + "] could not find any associated account data for the submitted "+ "AuthenticationToken ["+ token+ "]. The ["+ getClass().getName()+ "] implementation requires "+ "all configured realm(s) to acquire valid account data for a submitted token during the "+ "log-in process.";" is 303.,65
temp,org.apache.shiro.authc.pam,AtLeastOneSuccessfulStrategy,afterAllAttempts,Long Statement,The length of the statement "throw new AuthenticationException("Authentication token of type [" + token.getClass() + "] "+ "could not be authenticated by any configured realms. Please ensure that at least one realm can "+ "authenticate these tokens.");" is 223.,44
temp,org.apache.shiro.authc.pam,AuthenticationStrategy,afterAttempt,Long Parameter List,The method has 5 parameters. ,80
temp,org.apache.shiro.authc.pam,ModularRealmAuthenticator,assertRealmsConfigured,Long Statement,The length of the statement "String msg="Configuration error: No realms have been configured! One or more realms must be " + "present to execute an authentication attempt.";" is 144.,156
temp,org.apache.shiro.authc.pam,ModularRealmAuthenticator,doSingleRealmAuthentication,Long Statement,The length of the statement "String msg="Realm [" + realm + "] does not support authentication token ["+ token+ "]. Please ensure that the appropriate Realm implementation is "+ "configured correctly or that the realm accepts AuthenticationTokens of this type.";" is 233.,165
temp,org.apache.shiro.authc.pam,ModularRealmAuthenticator,doSingleRealmAuthentication,Long Statement,The length of the statement "String msg="Realm [" + realm + "] was unable to find account data for the "+ "submitted AuthenticationToken ["+ token+ "].";" is 124.,165
temp,org.apache.shiro.authz.aop,AnnotationsAuthorizingMethodInterceptor,AnnotationsAuthorizingMethodInterceptor,Magic Number,The method contains a magic number: 5,47
temp,org.apache.shiro.authz.aop,AuthorizingAnnotationMethodInterceptor,assertAuthorized,Long Statement,The length of the statement "if (ae.getCause() == null) ae.initCause(new AuthorizationException("Not authorized to invoke method: " + mi.getMethod()));" is 122.,71
temp,org.apache.shiro.authz.aop,GuestAnnotationHandler,assertAuthorized,Long Statement,The length of the statement "throw new UnauthenticatedException("Attempting to perform a guest-only operation. The current Subject is " + "not a guest (they have been authenticated or remembered from a previous login). Access " + "denied.");" is 212.,49
temp,org.apache.shiro.authz.aop,PermissionAnnotationHandler,assertAuthorized,Complex Method,Cyclomatic complexity of the method is 8,57
temp,org.apache.shiro.authz.aop,RoleAnnotationHandler,assertAuthorized,Complex Method,Cyclomatic complexity of the method is 8,44
temp,org.apache.shiro.authz.aop,UserAnnotationHandler,assertAuthorized,Long Statement,The length of the statement "throw new UnauthenticatedException("Attempting to perform a user-only operation. The current Subject is " + "not a user (they haven't been authenticated or remembered from a previous login). " + "Access denied.");" is 213.,49
temp,org.apache.shiro.authz,ModularRealmAuthorizer,applyPermissionResolverToRealms,Complex Conditional,The conditional expression resolver != null && realms != null && !realms.isEmpty() is complex.,121
temp,org.apache.shiro.authz,ModularRealmAuthorizer,applyRolePermissionResolverToRealms,Complex Conditional,The conditional expression resolver != null && realms != null && !realms.isEmpty() is complex.,174
temp,org.apache.shiro.authz,ModularRealmAuthorizer,assertRealmsConfigured,Long Statement,The length of the statement "String msg="Configuration error: No realms have been configured! One or more realms must be " + "present to execute an authorization operation.";" is 145.,199
temp,org.apache.shiro.authz.permission,WildcardPermission,setParts,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot be null or empty. Make sure permission strings are properly formatted.");" is 132.,149
temp,org.apache.shiro.authz.permission,WildcardPermission,setParts,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot contain parts with only dividers. Make sure permission strings are properly formatted.");" is 148.,149
temp,org.apache.shiro.authz.permission,WildcardPermission,setParts,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot contain only dividers. Make sure permission strings are properly formatted.");" is 137.,149
temp,org.apache.shiro.cache,AbstractCacheManager,toString,Long Statement,The length of the statement "StringBuilder sb=new StringBuilder(getClass().getSimpleName()).append(" with ").append(caches.size()).append(" cache(s)): [");" is 126.,103
temp,org.apache.shiro.codec,Base64,discardWhitespace,Missing default,The following switch statement is missing a default case: switch (aByte) {,196
temp,org.apache.shiro.codec,Base64,encode,Complex Method,Cyclomatic complexity of the method is 11,257
temp,org.apache.shiro.codec,Base64,encode,Long Statement,The length of the statement "throw new IllegalArgumentException("Input array too big` output array would be bigger than Integer.MAX_VALUE=" + Integer.MAX_VALUE);" is 132.,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x0f,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x03,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xc0,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xf0,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 6,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 6,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xfc,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x3f,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x03,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xc0,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x0f,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x03,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xc0,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xf0,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,257
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,257
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 3,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 6,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,417
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 3,417
temp,org.apache.shiro.codec,CodecSupport,isByteSource,Long Statement,The length of the statement "return o instanceof byte[] || o instanceof char[] || o instanceof String|| o instanceof ByteSource|| o instanceof File|| o instanceof InputStream;" is 146.,157
temp,org.apache.shiro.codec,CodecSupport,toBytes,Complex Method,Cyclomatic complexity of the method is 8,182
temp,org.apache.shiro.codec,CodecSupport,toBytes,Empty catch clause,The method has an empty catch block.,256
temp,org.apache.shiro.codec,CodecSupport,toBytes,Empty catch clause,The method has an empty catch block.,256
temp,org.apache.shiro.codec,CodecSupport,toBytes,Magic Number,The method contains a magic number: 512,256
temp,org.apache.shiro.codec,CodecSupport,objectToBytes,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only supports conversion to "+ "byte[] if the source is of type byte[]` char[]` String` "+ ByteSource.class.getName()+ " File or InputStream. The instance provided as a method "+ "argument is of type ["+ o.getClass().getName()+ "]. If you would like to convert "+ "this argument type to a byte[]` you can 1) convert the argument to one of the supported types "+ "yourself and then use that as the method argument or 2) subclass "+ getClass().getName()+ "and override the objectToBytes(Object o) method.";" is 564.,292
temp,org.apache.shiro.codec,H64,toShort,Magic Number,The method contains a magic number: 0xff,52
temp,org.apache.shiro.codec,H64,toInt,Magic Number,The method contains a magic number: 4,56
temp,org.apache.shiro.codec,H64,toInt,Magic Number,The method contains a magic number: 8,56
temp,org.apache.shiro.codec,H64,toInt,Magic Number,The method contains a magic number: 2,56
temp,org.apache.shiro.codec,H64,toInt,Magic Number,The method contains a magic number: 16,56
temp,org.apache.shiro.codec,H64,toInt,Magic Number,The method contains a magic number: 3,56
temp,org.apache.shiro.codec,H64,toInt,Magic Number,The method contains a magic number: 24,56
temp,org.apache.shiro.codec,H64,encodeAndAppend,Magic Number,The method contains a magic number: 0x3f,88
temp,org.apache.shiro.codec,H64,encodeAndAppend,Magic Number,The method contains a magic number: 6,88
temp,org.apache.shiro.codec,H64,encodeToString,Magic Number,The method contains a magic number: 3,102
temp,org.apache.shiro.codec,H64,encodeToString,Magic Number,The method contains a magic number: 3,102
temp,org.apache.shiro.codec,H64,encodeToString,Magic Number,The method contains a magic number: 3,102
temp,org.apache.shiro.codec,H64,encodeToString,Magic Number,The method contains a magic number: 4,102
temp,org.apache.shiro.codec,Hex,encode,Magic Number,The method contains a magic number: 0xF0,56
temp,org.apache.shiro.codec,Hex,encode,Magic Number,The method contains a magic number: 4,56
temp,org.apache.shiro.codec,Hex,encode,Magic Number,The method contains a magic number: 0x0F,56
temp,org.apache.shiro.codec,Hex,decode,Magic Number,The method contains a magic number: 4,110
temp,org.apache.shiro.codec,Hex,decode,Magic Number,The method contains a magic number: 0xFF,110
temp,org.apache.shiro.codec,Hex,toDigit,Magic Number,The method contains a magic number: 16,145
temp,org.apache.shiro.concurrent,SubjectAwareExecutorService,setTargetExecutor,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only accepts "+ ExecutorService.class.getName()+ " target instances.";" is 130.,78
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,getTargetScheduledExecutorService,Long Identifier,The length of the field targetScheduledExecutorService is 30.,38
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,setTargetScheduledExecutorService,Long Identifier,The length of the parameter targetScheduledExecutorService is 30.,42
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,setTargetScheduledExecutorService,Long Identifier,The length of the field targetScheduledExecutorService is 30.,42
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,setTargetExecutor,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only accepts "+ ScheduledExecutorService.class.getName()+ " target instances.";" is 139.,47
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,setTargetExecutorService,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only accepts "+ ScheduledExecutorService.class.getName()+ " target instances.";" is 139.,57
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,schedule,Long Identifier,The length of the field targetScheduledExecutorService is 30.,67
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,schedule,Long Identifier,The length of the field targetScheduledExecutorService is 30.,72
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,scheduleAtFixedRate,Long Identifier,The length of the field targetScheduledExecutorService is 30.,77
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,scheduleWithFixedDelay,Long Identifier,The length of the field targetScheduledExecutorService is 30.,82
temp,org.apache.shiro.crypto,DefaultBlockCipherService,isModeStreamingCompatible,Long Statement,The length of the statement "return modeName != null && !modeName.equalsIgnoreCase(OperationMode.ECB.name()) && !modeName.equalsIgnoreCase(OperationMode.NONE.name());" is 137.,378
temp,org.apache.shiro.crypto,DefaultBlockCipherService,buildTransformationString,Long Identifier,The length of the field TRANSFORMATION_STRING_DELIMITER is 31.,466
temp,org.apache.shiro.crypto,DefaultBlockCipherService,isModeInitializationVectorCompatible,Long Statement,The length of the statement "return modeName != null && !modeName.equalsIgnoreCase(OperationMode.ECB.name()) && !modeName.equalsIgnoreCase(OperationMode.NONE.name());" is 137.,480
temp,org.apache.shiro.crypto,DefaultBlockCipherService,generateInitializationVector,Long Statement,The length of the statement "String msg="streamingMode attribute value [" + streamingModeName + "] does not support "+ "Initialization Vectors. Ensure the streamingMode value represents an operation mode "+ "that is compatible with initialization vectors.";" is 228.,510
temp,org.apache.shiro.crypto,DefaultBlockCipherService,generateInitializationVector,Long Statement,The length of the statement "String msg="mode attribute value [" + modeName + "] does not support "+ "Initialization Vectors. Ensure the mode value represents an operation mode "+ "that is compatible with initialization vectors.";" is 201.,510
temp,org.apache.shiro.crypto,JcaCipherService,setInitializationVectorSize,Long Statement,The length of the statement "String msg="Initialization vector sizes are specified in bits` but must be a multiple of 8 so they " + "can be easily represented as a byte array.";" is 148.,181
temp,org.apache.shiro.crypto,JcaCipherService,getDefaultSecureRandom,Long Identifier,The length of the field RANDOM_NUM_GENERATOR_ALGORITHM_NAME is 35.,252
temp,org.apache.shiro.crypto,JcaCipherService,getDefaultSecureRandom,Long Statement,The length of the statement "log.debug("The SecureRandom SHA1PRNG algorithm is not available on the current platform. Using the " + "platform's default SecureRandom algorithm."`e);" is 151.,252
temp,org.apache.shiro.crypto,JcaCipherService,generateInitializationVector,Long Statement,The length of the statement "String msg="initializationVectorSize property must be greater than zero. This number is " + "typically set in the " + CipherService.class.getSimpleName() + " subclass constructor. "+ "Also check your configuration to ensure that if you are setting a value` it is positive.";" is 274.,284
temp,org.apache.shiro.crypto,JcaCipherService,encrypt,Long Statement,The length of the statement "throw new IllegalStateException("Initialization vector generation is enabled - generated vector" + "cannot be null or empty.");" is 127.,303
temp,org.apache.shiro.crypto,JcaCipherService,encrypt,Complex Conditional,The conditional expression prependIv && iv != null && iv.length > 0 is complex.,316
temp,org.apache.shiro.crypto,JcaCipherService,encrypt,Long Statement,The length of the statement "log.trace("Incoming plaintext of size " + (plaintext != null ? plaintext.length : 0) + ". Ciphertext "+ "byte array is size "+ (output != null ? output.length : 0));" is 165.,316
