Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.apache.shiro.config,ReflectionBuilderTest,testSetProperty,Magic Number,The method contains a magic number: 2,110
temp,org.apache.shiro.config,ReflectionBuilderTest,testListProperty,Magic Number,The method contains a magic number: 3,127
temp,org.apache.shiro.config,ReflectionBuilderTest,testCollectionProperty,Magic Number,The method contains a magic number: 3,144
temp,org.apache.shiro.config,ReflectionBuilderTest,testMapProperty,Magic Number,The method contains a magic number: 2,202
temp,org.apache.shiro.config,ReflectionBuilderTest,testNestedListProperty,Magic Number,The method contains a magic number: 2,223
temp,org.apache.shiro.authc,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="No account information found for authentication token [" + token + "] by this "+ "Authenticator instance. Please check that it is configured correctly.";" is 165.,170
temp,org.apache.shiro.authc,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="Authentication failed for token submission [" + token + "]. Possible unexpected "+ "error? (Typical or expected login exceptions should extend from AuthenticationException).";" is 187.,170
temp,org.apache.shiro.authc,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="Unable to send notification for failed authentication attempt - listener error?. " + "Please check your AuthenticationListener implementation(s). Logging sending exception " + "and propagating original AuthenticationException instead...";" is 250.,170
temp,org.apache.shiro.authc,SimpleAccount,SimpleAccount,Long Statement,The length of the statement "this(principal instanceof PrincipalCollection ? (PrincipalCollection)principal : new SimplePrincipalCollection(principal`realmName)`credentials);" is 145.,76
temp,org.apache.shiro.authc,SimpleAccount,SimpleAccount,Long Parameter List,The method has 5 parameters. ,124
temp,org.apache.shiro.authc,SimpleAccount,SimpleAccount,Long Parameter List,The method has 5 parameters. ,140
temp,org.apache.shiro.authc,SimpleAuthenticationInfo,merge,Complex Conditional,The conditional expression info == null || info.getPrincipals() == null || info.getPrincipals().isEmpty() is complex.,111
temp,org.apache.shiro.authc,SimpleAuthenticationInfo,merge,Complex Method,Cyclomatic complexity of the method is 8,111
temp,org.apache.shiro.authc.credential,SimpleCredentialsMatcher,equals,Long Statement,The length of the statement "log.debug("Performing credentials equality check for tokenCredentials of type [" + tokenCredentials.getClass().getName() + " and accountCredentials of type ["+ accountCredentials.getClass().getName()+ "]");" is 206.,79
temp,org.apache.shiro.authc.pam,AbstractAuthenticationStrategy,afterAttempt,Long Parameter List,The method has 5 parameters. ,52
temp,org.apache.shiro.authc.pam,AbstractAuthenticationStrategy,merge,Long Statement,The length of the statement "throw new IllegalArgumentException("Attempt to merge authentication info from multiple realms` but aggregate " + "AuthenticationInfo is not of type MergableAuthenticationInfo.");" is 178.,71
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategy,beforeAttempt,Long Statement,The length of the statement "String msg="Realm [" + realm + "] of type ["+ realm.getClass().getName()+ "] does not support "+ " the submitted AuthenticationToken ["+ token+ "]. The ["+ getClass().getName()+ "] implementation requires all configured realm(s) to support and be able to process the submitted "+ "AuthenticationToken.";" is 303.,47
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategy,afterAttempt,Long Parameter List,The method has 5 parameters. ,66
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategy,afterAttempt,Long Statement,The length of the statement "String msg="Unable to acquire account data from realm [" + realm + "]. The ["+ getClass().getName()+ " implementation requires all configured realm(s) to operate successfully "+ "for a successful authentication.";" is 213.,66
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategy,afterAttempt,Long Statement,The length of the statement "String msg="Realm [" + realm + "] could not find any associated account data for the submitted "+ "AuthenticationToken ["+ token+ "]. The ["+ getClass().getName()+ "] implementation requires "+ "all configured realm(s) to acquire valid account data for a submitted token during the "+ "log-in process.";" is 303.,66
temp,org.apache.shiro.authc.pam,AtLeastOneSuccessfulStrategy,afterAllAttempts,Long Statement,The length of the statement "throw new AuthenticationException("Authentication token of type [" + token.getClass() + "] "+ "could not be authenticated by any configured realms. Please ensure that at least one realm can "+ "authenticate these tokens.");" is 223.,45
temp,org.apache.shiro.authc.pam,AuthenticationStrategy,afterAttempt,Long Parameter List,The method has 5 parameters. ,81
temp,org.apache.shiro.authc.pam,ModularRealmAuthenticator,assertRealmsConfigured,Long Statement,The length of the statement "String msg="Configuration error: No realms have been configured! One or more realms must be " + "present to execute an authentication attempt.";" is 144.,157
temp,org.apache.shiro.authc.pam,ModularRealmAuthenticator,doSingleRealmAuthentication,Long Statement,The length of the statement "String msg="Realm [" + realm + "] does not support authentication token ["+ token+ "]. Please ensure that the appropriate Realm implementation is "+ "configured correctly or that the realm accepts AuthenticationTokens of this type.";" is 233.,166
temp,org.apache.shiro.authc.pam,ModularRealmAuthenticator,doSingleRealmAuthentication,Long Statement,The length of the statement "String msg="Realm [" + realm + "] was unable to find account data for the "+ "submitted AuthenticationToken ["+ token+ "].";" is 124.,166
temp,org.apache.shiro.authz.aop,AnnotationsAuthorizingMethodInterceptor,AnnotationsAuthorizingMethodInterceptor,Magic Number,The method contains a magic number: 5,48
temp,org.apache.shiro.authz.aop,GuestAnnotationHandler,assertAuthorized,Long Statement,The length of the statement "throw new UnauthenticatedException("Attempting to perform a guest-only operation. The current Subject is " + "not a guest (they have been authenticated or remembered from a previous login). Access " + "denied.");" is 212.,50
temp,org.apache.shiro.authz.aop,UserAnnotationHandler,assertAuthorized,Long Statement,The length of the statement "throw new UnauthenticatedException("Attempting to perform a user-only operation. The current Subject is " + "not a user (they haven't been authenticated or remembered from a previous login). " + "Access denied.");" is 213.,50
temp,org.apache.shiro.authz,ModularRealmAuthorizer,applyPermissionResolverToRealms,Complex Conditional,The conditional expression resolver != null && realms != null && !realms.isEmpty() is complex.,121
temp,org.apache.shiro.authz,ModularRealmAuthorizer,applyRolePermissionResolverToRealms,Complex Conditional,The conditional expression resolver != null && realms != null && !realms.isEmpty() is complex.,174
temp,org.apache.shiro.authz,ModularRealmAuthorizer,assertRealmsConfigured,Long Statement,The length of the statement "String msg="Configuration error: No realms have been configured! One or more realms must be " + "present to execute an authorization operation.";" is 145.,199
temp,org.apache.shiro.authz,SimpleAuthorizingAccount,SimpleAuthorizingAccount,Long Parameter List,The method has 5 parameters. ,65
temp,org.apache.shiro.authz,SimpleAuthorizingAccount,SimpleAuthorizingAccount,Long Parameter List,The method has 5 parameters. ,74
temp,org.apache.shiro.authz,SimpleAuthorizingAccount,SimpleAuthorizingAccount,Long Parameter List,The method has 5 parameters. ,83
temp,org.apache.shiro.authz.permission,WildcardPermission,setParts,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot be null or empty. Make sure permission strings are properly formatted.");" is 132.,152
temp,org.apache.shiro.authz.permission,WildcardPermission,setParts,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot contain parts with only dividers. Make sure permission strings are properly formatted.");" is 148.,152
temp,org.apache.shiro.authz.permission,WildcardPermission,setParts,Long Statement,The length of the statement "throw new IllegalArgumentException("Wildcard string cannot contain only dividers. Make sure permission strings are properly formatted.");" is 137.,152
temp,org.apache.shiro.cache,AbstractCacheManager,toString,Long Statement,The length of the statement "StringBuilder sb=new StringBuilder(getClass().getSimpleName()).append(" with ").append(caches.size()).append(" cache(s)): [");" is 126.,102
temp,org.apache.shiro.codec,Base64,discardWhitespace,Missing default,The following switch statement is missing a default case: switch (aByte) {,197
temp,org.apache.shiro.codec,Base64,encode,Complex Method,Cyclomatic complexity of the method is 11,258
temp,org.apache.shiro.codec,Base64,encode,Long Statement,The length of the statement "throw new IllegalArgumentException("Input array too big` output array would be bigger than Integer.MAX_VALUE=" + Integer.MAX_VALUE);" is 132.,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x0f,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x03,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xc0,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xf0,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 6,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 6,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xfc,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x3f,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x03,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xc0,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x0f,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0x03,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xc0,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 0xf0,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 4,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 2,258
temp,org.apache.shiro.codec,Base64,encode,Magic Number,The method contains a magic number: 3,258
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 3,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 6,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 4,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 2,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 0xf,418
temp,org.apache.shiro.codec,Base64,decode,Magic Number,The method contains a magic number: 3,418
temp,org.apache.shiro.codec,CodecSupport,isByteSource,Long Statement,The length of the statement "return o instanceof byte[] || o instanceof char[] || o instanceof String|| o instanceof ByteSource|| o instanceof File|| o instanceof InputStream;" is 146.,158
temp,org.apache.shiro.codec,CodecSupport,toBytes,Complex Method,Cyclomatic complexity of the method is 8,183
temp,org.apache.shiro.codec,CodecSupport,toBytes,Empty catch clause,The method has an empty catch block.,257
temp,org.apache.shiro.codec,CodecSupport,toBytes,Empty catch clause,The method has an empty catch block.,257
temp,org.apache.shiro.codec,CodecSupport,toBytes,Magic Number,The method contains a magic number: 512,257
temp,org.apache.shiro.codec,CodecSupport,objectToBytes,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only supports conversion to "+ "byte[] if the source is of type byte[]` char[]` String` "+ ByteSource.class.getName()+ " File or InputStream. The instance provided as a method "+ "argument is of type ["+ o.getClass().getName()+ "]. If you would like to convert "+ "this argument type to a byte[]` you can 1) convert the argument to one of the supported types "+ "yourself and then use that as the method argument or 2) subclass "+ getClass().getName()+ "and override the objectToBytes(Object o) method.";" is 564.,293
temp,org.apache.shiro.codec,Hex,encode,Magic Number,The method contains a magic number: 0xF0,57
temp,org.apache.shiro.codec,Hex,encode,Magic Number,The method contains a magic number: 4,57
temp,org.apache.shiro.codec,Hex,encode,Magic Number,The method contains a magic number: 0x0F,57
temp,org.apache.shiro.codec,Hex,decode,Magic Number,The method contains a magic number: 4,111
temp,org.apache.shiro.codec,Hex,decode,Magic Number,The method contains a magic number: 0xFF,111
temp,org.apache.shiro.codec,Hex,toDigit,Magic Number,The method contains a magic number: 16,146
temp,org.apache.shiro.concurrent,SubjectAwareExecutorService,setTargetExecutor,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only accepts "+ ExecutorService.class.getName()+ " target instances.";" is 130.,79
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,getTargetScheduledExecutorService,Long Identifier,The length of the field targetScheduledExecutorService is 30.,38
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,setTargetScheduledExecutorService,Long Identifier,The length of the parameter targetScheduledExecutorService is 30.,42
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,setTargetScheduledExecutorService,Long Identifier,The length of the field targetScheduledExecutorService is 30.,42
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,setTargetExecutor,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only accepts "+ ScheduledExecutorService.class.getName()+ " target instances.";" is 139.,47
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,setTargetExecutorService,Long Statement,The length of the statement "String msg="The " + getClass().getName() + " implementation only accepts "+ ScheduledExecutorService.class.getName()+ " target instances.";" is 139.,57
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,schedule,Long Identifier,The length of the field targetScheduledExecutorService is 30.,67
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,schedule,Long Identifier,The length of the field targetScheduledExecutorService is 30.,72
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,scheduleAtFixedRate,Long Identifier,The length of the field targetScheduledExecutorService is 30.,77
temp,org.apache.shiro.concurrent,SubjectAwareScheduledExecutorService,scheduleWithFixedDelay,Long Identifier,The length of the field targetScheduledExecutorService is 30.,82
temp,org.apache.shiro.crypto,DefaultBlockCipherService,isModeStreamingCompatible,Long Statement,The length of the statement "return modeName != null && !modeName.equalsIgnoreCase(OperationMode.ECB.name()) && !modeName.equalsIgnoreCase(OperationMode.NONE.name());" is 137.,380
temp,org.apache.shiro.crypto,DefaultBlockCipherService,buildTransformationString,Long Identifier,The length of the field TRANSFORMATION_STRING_DELIMITER is 31.,468
temp,org.apache.shiro.crypto,DefaultBlockCipherService,isModeInitializationVectorCompatible,Long Statement,The length of the statement "return modeName != null && !modeName.equalsIgnoreCase(OperationMode.ECB.name()) && !modeName.equalsIgnoreCase(OperationMode.NONE.name());" is 137.,482
temp,org.apache.shiro.crypto,DefaultBlockCipherService,generateInitializationVector,Long Statement,The length of the statement "String msg="streamingMode attribute value [" + streamingModeName + "] does not support "+ "Initialization Vectors. Ensure the streamingMode value represents an operation mode "+ "that is compatible with initialization vectors.";" is 228.,512
temp,org.apache.shiro.crypto,DefaultBlockCipherService,generateInitializationVector,Long Statement,The length of the statement "String msg="mode attribute value [" + modeName + "] does not support "+ "Initialization Vectors. Ensure the mode value represents an operation mode "+ "that is compatible with initialization vectors.";" is 201.,512
temp,org.apache.shiro.crypto,JcaCipherService,setInitializationVectorSize,Long Statement,The length of the statement "String msg="Initialization vector sizes are specified in bits` but must be a multiple of 8 so they " + "can be easily represented as a byte array.";" is 148.,183
temp,org.apache.shiro.crypto,JcaCipherService,getDefaultSecureRandom,Long Identifier,The length of the field RANDOM_NUM_GENERATOR_ALGORITHM_NAME is 35.,254
temp,org.apache.shiro.crypto,JcaCipherService,getDefaultSecureRandom,Long Statement,The length of the statement "log.debug("The SecureRandom SHA1PRNG algorithm is not available on the current platform. Using the " + "platform's default SecureRandom algorithm."`e);" is 151.,254
temp,org.apache.shiro.crypto,JcaCipherService,generateInitializationVector,Long Statement,The length of the statement "String msg="initializationVectorSize property must be greater than zero. This number is " + "typically set in the " + CipherService.class.getSimpleName() + " subclass constructor. "+ "Also check your configuration to ensure that if you are setting a value` it is positive.";" is 274.,286
temp,org.apache.shiro.crypto,JcaCipherService,encrypt,Long Statement,The length of the statement "throw new IllegalStateException("Initialization vector generation is enabled - generated vector" + "cannot be null or empty.");" is 127.,305
temp,org.apache.shiro.crypto,JcaCipherService,encrypt,Complex Conditional,The conditional expression prependIv && iv != null && iv.length > 0 is complex.,318
temp,org.apache.shiro.crypto,JcaCipherService,encrypt,Long Statement,The length of the statement "log.trace("Incoming plaintext of size " + (plaintext != null ? plaintext.length : 0) + ". Ciphertext "+ "byte array is size "+ (output != null ? output.length : 0));" is 165.,318
temp,org.apache.shiro.crypto,JcaCipherService,newCipherInstance,Long Statement,The length of the statement "String msg="Unable to acquire a Java JCA Cipher instance using " + javax.crypto.Cipher.class.getName() + ".getInstance( \""+ transformationString+ "\" ). "+ getAlgorithmName()+ " under this configuration is required for the "+ getClass().getName()+ " instance to function.";" is 274.,397
temp,org.apache.shiro.crypto,JcaCipherService,init,Long Parameter List,The method has 5 parameters. ,469
temp,org.apache.shiro.crypto,JcaCipherService,encrypt,Long Statement,The length of the statement "throw new IllegalStateException("Initialization vector generation is enabled - generated vector" + "cannot be null or empty.");" is 127.,503
temp,org.apache.shiro.crypto,JcaCipherService,encrypt,Complex Conditional,The conditional expression prependIv && iv != null && iv.length > 0 is complex.,516
temp,org.apache.shiro.crypto,JcaCipherService,encrypt,Long Parameter List,The method has 5 parameters. ,516
temp,org.apache.shiro.crypto,JcaCipherService,decrypt,Long Statement,The length of the statement "throw new CryptoException("Unable to read initialization vector bytes from the InputStream. " + "This is required when initialization vectors are autogenerated during an encryption " + "operation.");" is 199.,533
temp,org.apache.shiro.crypto,JcaCipherService,crypt,Long Parameter List,The method has 5 parameters. ,566
temp,org.apache.shiro.crypto.hash,AbstractHash,doMain,Complex Conditional,The conditional expression args == null || args.length < 1 || args.length > 7 is complex.,303
temp,org.apache.shiro.crypto.hash,AbstractHash,doMain,Complex Method,Cyclomatic complexity of the method is 8,303
temp,org.apache.shiro.crypto.hash,AbstractHash,doMain,Long Statement,The length of the statement "String msg="Times argument must be followed by an integer value. The final argument is " + "reserved for the value to hash";" is 124.,303
temp,org.apache.shiro.crypto.hash,AbstractHash,doMain,Magic Number,The method contains a magic number: 7,303
temp,org.apache.shiro.io,DefaultSerializer,serialize,Long Statement,The length of the statement "String msg="Unable to serialize object [" + o + "]. "+ "In order for the DefaultSerializer to serialize this object` the ["+ o.getClass().getName()+ "] "+ "class must implement java.io.Serializable.";" is 200.,31
temp,org.apache.shiro.io,IniResource,load,Complex Conditional,The conditional expression line == null || line.startsWith(COMMENT_POUND) || line.startsWith(COMMENT_SEMICOLON) is complex.,87
temp,org.apache.shiro.io,ResourceUtils,hasResourcePrefix,Long Statement,The length of the statement "return resourcePath != null && (resourcePath.startsWith(CLASSPATH_PREFIX) || resourcePath.startsWith(URL_PREFIX) || resourcePath.startsWith(FILE_PREFIX));" is 154.,64
temp,org.apache.shiro.io,ResourceUtils,resourceExists,Empty catch clause,The method has an empty catch block.,81
